code,name,section,date,open,high,low,close,vol,value,n_stock,agg_price,foreign_vol,foreign_rate,agency_buy,agency_netbuy
A003490,koreanAir,KOSPI,20170411,19258,19874,19258,19841,522979,15912000000,94844000,1881799000000,15337889,16.170000076293945,126091,-6690421
A003490,koreanAir,KOSPI,20170412,19971,20003,19549,19549,516441,15732000000,94844000,1854105000000,15251972,16.079999923706055,3048,-6687373
A003490,koreanAir,KOSPI,20170413,19744,19938,19647,19906,393846,12039000000,94844000,1887964000000,15253427,16.079999923706055,36844,-6650529
A003490,koreanAir,KOSPI,20170414,19647,19841,19290,19452,409281,12268000000,94844000,1844905000000,15231874,16.059999465942383,11344,-6639185
A003490,koreanAir,KOSPI,20170417,19452,19874,19452,19679,395225,12025000000,94844000,1866435000000,15235312,16.059999465942383,43219,-6595966
A003490,koreanAir,KOSPI,20170418,19841,19874,19128,19484,798592,23818000000,94844000,1847940000000,15201813,16.030000686645508,-44816,-6640782
A003490,koreanAir,KOSPI,20170419,19420,19549,19128,19225,510776,15150000000,94844000,1823375000000,15098542,15.920000076293945,-39958,-6680740
A003490,koreanAir,KOSPI,20170420,19128,19517,19128,19452,345440,10335000000,94844000,1844905000000,15137679,15.960000038146973,13827,-6666913
A003490,koreanAir,KOSPI,20170421,19549,19971,19387,19938,635051,19355000000,94844000,1890999000000,15230750,16.059999465942383,146929,-6519984
A003490,koreanAir,KOSPI,20170424,19971,20100,19809,20003,509239,14850000000,94844000,1897164000000,15104591,15.930000305175781,200297,-6319687
A003490,koreanAir,KOSPI,20170425,20068,20133,19744,20100,440791,13597000000,94844000,1906364000000,15061757,15.880000114440918,154922,-6164765
A003490,koreanAir,KOSPI,20170426,20198,20230,19906,20068,429616,13294000000,94844000,1903329000000,15003938,15.819999694824219,77680,-6087085
A003490,koreanAir,KOSPI,20170427,20165,20327,19971,20295,543329,16916000000,94844000,1924858000000,15007547,15.819999694824219,140807,-5946278
A003490,koreanAir,KOSPI,20170428,20133,20230,19776,19874,477321,14665000000,94844000,1884929000000,14903393,15.710000038146973,49494,-5896784
A003490,koreanAir,KOSPI,20170502,19906,20133,19809,20003,308134,9511000000,94844000,1897164000000,14919968,15.729999542236328,1685,-5895099
A003490,koreanAir,KOSPI,20170504,20133,21365,20133,21268,1689919,54757000000,94844000,2017142000000,15521695,16.3700008392334,194968,-5700131
A003490,koreanAir,KOSPI,20170508,21397,21397,20846,21106,769791,24942000000,94844000,2001777000000,15312517,16.139999389648438,59002,-5641129
A003490,koreanAir,KOSPI,20170510,20943,21235,20619,20684,897160,27533000000,94844000,1961753000000,15149732,15.970000267028809,152464,-5488665
A003490,koreanAir,KOSPI,20170511,20879,21041,20263,20490,1013519,32098000000,94844000,1943353000000,15127886,15.949999809265137,-115333,-5603998
A003490,koreanAir,KOSPI,20170512,20716,21138,20587,20911,788731,25347000000,94844000,1983282000000,15207767,16.030000686645508,-27083,-5631081
A003490,koreanAir,KOSPI,20170515,20846,21203,20749,20879,490314,15893000000,94844000,1980247000000,15168597,15.989999771118164,90868,-5540213
A003490,koreanAir,KOSPI,20170516,20846,21073,20522,20911,569346,18260000000,94844000,1983282000000,15234926,16.059999465942383,-35135,-5575348
A003490,koreanAir,KOSPI,20170517,21106,21268,20879,21235,621720,20227000000,94844000,2014012000000,15181557,16.010000228881836,81519,-5493829
A003490,koreanAir,KOSPI,20170518,20879,21495,20846,21203,734094,24072000000,94844000,2010977000000,15106991,15.930000305175781,150432,-5343397
A003490,koreanAir,KOSPI,20170519,21430,21819,21300,21592,855733,28496000000,94844000,2047871000000,15239158,16.06999969482422,126083,-5217314
A003490,koreanAir,KOSPI,20170522,21592,21657,21203,21365,595861,19639000000,94844000,2026342000000,15153816,15.979999542236328,-6642,-5223956
A003490,koreanAir,KOSPI,20170523,21527,21722,21300,21624,469839,15621000000,94844000,2050906000000,15230698,16.059999465942383,81293,-5142663
A003490,koreanAir,KOSPI,20170524,21722,22532,21657,22338,1038894,35646000000,94844000,2118625000000,15261975,16.09000015258789,312105,-4830558
A003490,koreanAir,KOSPI,20170525,22564,22954,22240,22856,804529,28110000000,94844000,2167754000000,15232786,16.059999465942383,279810,-4550748
A003490,koreanAir,KOSPI,20170526,23148,23505,22824,23018,1025325,36573000000,94844000,2183119000000,15227392,16.059999465942383,232714,-4318034
A003490,koreanAir,KOSPI,20170529,23018,23018,22500,22727,765498,26816000000,94844000,2155519000000,15291623,16.1200008392334,-29635,-4347669
A003490,koreanAir,KOSPI,20170530,22759,23051,22694,22856,400282,14129000000,94844000,2167754000000,15335490,16.170000076293945,95602,-4252067
A003490,koreanAir,KOSPI,20170531,22921,23148,22629,23018,604928,21377000000,94844000,2183119000000,15374443,16.209999084472656,123896,-4128171
A003490,koreanAir,KOSPI,20170601,23116,23116,22402,22759,587706,20535000000,94844000,2158554000000,15361132,16.200000762939453,-20550,-4148721
A003490,koreanAir,KOSPI,20170602,22921,23570,22824,23570,923363,33302000000,94844000,2235473000000,15470113,16.309999465942383,142071,-4006650
A003490,koreanAir,KOSPI,20170605,23699,23894,23310,23407,513173,18666000000,94844000,2220013000000,15452369,16.290000915527344,20917,-3985733
A003490,koreanAir,KOSPI,20170607,23343,24315,23343,24250,1025720,38066000000,94844000,2299967000000,15560800,16.40999984741211,242435,-3743298
A003490,koreanAir,KOSPI,20170608,24639,24639,23959,24315,944326,35493000000,94844000,2306131000000,15556846,16.399999618530273,80683,-3662615
A003490,koreanAir,KOSPI,20170609,24348,24964,24348,24607,630793,24043000000,94844000,2333826000000,15649055,16.5,-3683,-3666298
